coal,electricity,natural gas,wood,private,public,walk/bicycle,diesel,electric,hybrid,lpg,petrol,Vehicle Monthly Distance Km,Frequency of Traveling by Air,extra large waste bag,large waste bag,medium waste bag,small waste bag,Waste Bag Weekly Count,CarbonEmission
0,0,1,0,0,0,1,0,0,0,0,0,72,0,0,0,0,1,5,1254
0,1,0,0,0,1,0,0,0,0,0,0,1157,0,0,0,0,1,5,1411
0,0,0,1,0,1,0,0,0,0,0,0,1380,0,1,0,0,0,4,1605
0,1,0,0,1,0,0,0,0,0,1,0,5765,0,0,0,1,0,5,3054
0,0,1,0,0,0,1,0,0,0,0,0,92,3,1,0,0,0,6,2902
0,1,0,0,1,0,0,0,0,0,1,0,7797,2,0,1,0,0,7,4301
0,1,0,0,0,0,1,0,0,0,0,0,50,3,0,0,0,1,3,2308
0,0,0,1,1,0,0,0,0,0,0,1,7629,2,0,0,1,0,1,4132
0,0,0,1,1,0,0,0,0,0,0,1,2367,2,0,0,1,0,3,2993
0,0,0,1,1,0,0,0,0,0,0,1,3960,2,0,0,1,0,1,3098
1,0,0,0,0,0,1,0,0,0,0,0,42,1,1,0,0,0,2,1364
1,0,0,0,1,0,0,0,0,0,1,0,6455,1,0,1,0,0,1,2941
0,1,0,0,0,0,1,0,0,0,0,0,41,2,0,1,0,0,4,1349
0,0,1,0,0,0,1,0,0,0,0,0,71,0,0,0,1,0,1,1038
0,0,0,1,0,0,1,0,0,0,0,0,39,0,0,0,1,0,7,1815
1,0,0,0,0,0,1,0,0,0,0,0,50,3,1,0,0,0,1,2566
0,0,0,1,1,0,0,0,1,0,0,0,8707,3,0,0,1,0,3,2439
0,1,0,0,1,0,0,0,0,0,1,0,167,3,0,0,0,1,2,2056
0,0,1,0,0,1,0,0,0,0,0,0,631,3,0,0,1,0,7,2299
0,1,0,0,0,1,0,0,0,0,0,0,194,1,0,1,0,0,6,1492
1,0,0,0,0,0,1,0,0,0,0,0,46,1,0,0,1,0,1,1692
0,0,0,1,0,0,1,0,0,0,0,0,37,2,1,0,0,0,3,2581
0,0,0,1,0,0,1,0,0,0,0,0,31,1,0,1,0,0,2,950
1,0,0,0,1,0,0,0,0,0,1,0,2880,0,0,0,0,1,5,1923
0,0,0,1,0,0,1,0,0,0,0,0,6,0,1,0,0,0,2,1751
1,0,0,0,0,0,1,0,0,0,0,0,40,3,0,0,0,1,6,2562
0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0,0,6,2456
0,1,0,0,0,1,0,0,0,0,0,0,1341,0,1,0,0,0,1,657
0,1,0,0,0,1,0,0,0,0,0,0,393,3,0,0,0,1,3,1758
0,0,1,0,0,1,0,0,0,0,0,0,191,2,0,0,1,0,4,2184
1,0,0,0,0,1,0,0,0,0,0,0,131,3,1,0,0,0,1,3009
0,0,0,1,1,0,0,1,0,0,0,0,1419,3,0,1,0,0,5,3748
0,1,0,0,1,0,0,0,1,0,0,0,9159,1,0,0,0,1,7,1122
0,0,0,1,1,0,0,0,0,1,0,0,8016,0,0,0,0,1,3,2810
0,1,0,0,0,0,1,0,0,0,0,0,87,0,0,0,1,0,3,1346
0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,5,671
0,0,0,1,0,0,1,0,0,0,0,0,13,2,1,0,0,0,1,1695
0,1,0,0,0,0,1,0,0,0,0,0,74,0,0,1,0,0,3,810
0,0,0,1,1,0,0,0,0,1,0,0,7743,2,1,0,0,0,3,2768
0,0,1,0,0,1,0,0,0,0,0,0,993,0,0,1,0,0,7,1033
1,0,0,0,0,1,0,0,0,0,0,0,1997,1,0,1,0,0,4,2046
1,0,0,0,1,0,0,0,1,0,0,0,2721,1,0,0,0,1,6,2171
1,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,1,0,7,1312
0,0,0,1,0,1,0,0,0,0,0,0,941,1,0,1,0,0,1,1209
1,0,0,0,1,0,0,1,0,0,0,0,8815,2,0,0,0,1,2,4017
0,0,0,1,1,0,0,0,1,0,0,0,3276,1,1,0,0,0,1,877
0,1,0,0,1,0,0,0,0,1,0,0,3309,0,0,0,1,0,5,1856
0,0,0,1,1,0,0,0,0,1,0,0,2623,0,0,0,1,0,2,2197
0,1,0,0,1,0,0,1,0,0,0,0,7915,3,0,1,0,0,1,4281
0,1,0,0,1,0,0,0,0,0,1,0,8897,2,0,0,0,1,3,3480
0,0,1,0,0,0,1,0,0,0,0,0,19,0,0,0,1,0,1,953
0,0,1,0,1,0,0,0,1,0,0,0,3662,2,0,0,0,1,2,2046
1,0,0,0,1,0,0,0,0,0,0,1,611,0,0,1,0,0,6,2521
0,0,0,1,0,1,0,0,0,0,0,0,1431,3,0,1,0,0,6,3551
0,0,0,1,0,1,0,0,0,0,0,0,1978,0,0,0,1,0,3,1459
0,1,0,0,0,0,1,0,0,0,0,0,92,3,1,0,0,0,2,2492
1,0,0,0,0,0,1,0,0,0,0,0,82,2,0,1,0,0,1,2411
1,0,0,0,0,1,0,0,0,0,0,0,1851,3,0,1,0,0,7,2761
0,0,0,1,0,1,0,0,0,0,0,0,1224,1,1,0,0,0,3,1500
0,0,0,1,1,0,0,0,1,0,0,0,8219,0,1,0,0,0,5,1708
1,0,0,0,0,1,0,0,0,0,0,0,1390,0,1,0,0,0,4,1717
0,0,0,1,0,1,0,0,0,0,0,0,434,2,0,0,1,0,1,2135
0,0,0,1,1,0,0,0,0,1,0,0,7460,0,0,0,0,1,6,2042
0,0,0,1,0,0,1,0,0,0,0,0,15,1,0,0,0,1,1,1221
0,0,1,0,1,0,0,1,0,0,0,0,4686,3,1,0,0,0,2,3473
0,1,0,0,0,0,1,0,0,0,0,0,88,0,0,1,0,0,5,1378
0,1,0,0,0,0,1,0,0,0,0,0,40,3,1,0,0,0,2,2135
0,0,0,1,0,0,1,0,0,0,0,0,56,0,0,0,0,1,6,1464
1,0,0,0,0,0,1,0,0,0,0,0,14,3,1,0,0,0,6,2816
0,0,0,1,0,1,0,0,0,0,0,0,108,3,0,0,1,0,1,2210
0,0,1,0,1,0,0,0,1,0,0,0,5168,0,0,0,0,1,3,1552
1,0,0,0,1,0,0,0,0,0,0,1,672,2,0,0,0,1,3,2406
0,0,1,0,0,0,1,0,0,0,0,0,94,3,1,0,0,0,3,3004
0,0,0,1,1,0,0,0,0,0,0,1,3114,1,0,1,0,0,3,2540
0,0,1,0,1,0,0,0,0,0,1,0,7134,1,1,0,0,0,2,2424
1,0,0,0,1,0,0,1,0,0,0,0,8609,1,1,0,0,0,6,4000
0,0,1,0,0,1,0,0,0,0,0,0,852,0,1,0,0,0,1,1288
0,0,1,0,0,1,0,0,0,0,0,0,1673,1,0,0,1,0,6,2317
1,0,0,0,0,1,0,0,0,0,0,0,1564,3,0,1,0,0,7,2730
0,0,0,1,0,0,1,0,0,0,0,0,74,1,0,0,0,1,7,1371
0,0,1,0,1,0,0,0,0,0,0,1,2885,1,0,0,0,1,4,2349
0,0,1,0,1,0,0,0,0,0,0,1,8130,1,0,1,0,0,7,4536
0,0,0,1,0,1,0,0,0,0,0,0,228,3,1,0,0,0,3,2987
0,0,0,1,0,1,0,0,0,0,0,0,1162,0,0,0,1,0,4,1039
0,0,0,1,0,1,0,0,0,0,0,0,71,0,0,0,1,0,2,1036
0,0,1,0,1,0,0,1,0,0,0,0,6337,2,1,0,0,0,4,3620
0,0,1,0,0,1,0,0,0,0,0,0,1649,1,0,0,0,1,4,1009
0,0,1,0,1,0,0,1,0,0,0,0,6159,3,0,0,0,1,2,2895
0,1,0,0,1,0,0,1,0,0,0,0,9884,0,1,0,0,0,1,4294
0,0,0,1,1,0,0,0,0,1,0,0,4060,2,1,0,0,0,7,3429
0,0,1,0,0,0,1,0,0,0,0,0,68,1,0,0,1,0,7,1334
0,0,0,1,0,0,1,0,0,0,0,0,5,3,0,1,0,0,7,3697
0,0,1,0,0,1,0,0,0,0,0,0,702,1,0,0,0,1,4,1494
1,0,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,4,2779
1,0,0,0,0,0,1,0,0,0,0,0,42,1,0,0,0,1,1,993
1,0,0,0,0,1,0,0,0,0,0,0,274,0,1,0,0,0,5,1944
1,0,0,0,0,1,0,0,0,0,0,0,590,2,0,0,0,1,3,1474
0,0,1,0,1,0,0,1,0,0,0,0,84,2,0,0,0,1,1,1880
1,0,0,0,1,0,0,1,0,0,0,0,6908,2,0,1,0,0,3,3535
0,0,0,1,0,0,1,0,0,0,0,0,52,1,0,0,1,0,7,1644
0,0,1,0,1,0,0,0,0,0,1,0,121,2,1,0,0,0,2,1268
0,0,1,0,0,0,1,0,0,0,0,0,30,1,0,0,0,1,7,1529
0,1,0,0,0,1,0,0,0,0,0,0,1336,1,1,0,0,0,4,2076
0,1,0,0,0,0,1,0,0,0,0,0,89,0,0,1,0,0,4,1850
0,0,1,0,0,1,0,0,0,0,0,0,1412,0,0,0,0,1,6,1000
0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,3,1485
1,0,0,0,0,1,0,0,0,0,0,0,1924,1,0,0,1,0,1,1139
0,0,1,0,0,0,1,0,0,0,0,0,64,0,0,1,0,0,2,682
0,0,1,0,1,0,0,0,1,0,0,0,8659,0,0,1,0,0,1,926
1,0,0,0,0,0,1,0,0,0,0,0,82,1,0,0,0,1,1,1037
0,1,0,0,0,0,1,0,0,0,0,0,31,3,0,0,0,1,4,1467
0,0,1,0,1,0,0,0,1,0,0,0,5230,1,0,0,1,0,3,914
0,1,0,0,0,1,0,0,0,0,0,0,450,2,1,0,0,0,4,1741
1,0,0,0,0,1,0,0,0,0,0,0,441,3,0,0,0,1,2,2742
0,0,0,1,1,0,0,0,0,0,1,0,6160,1,0,1,0,0,2,2988
1,0,0,0,0,0,1,0,0,0,0,0,35,2,0,0,1,0,4,2160
0,0,1,0,0,0,1,0,0,0,0,0,57,2,0,1,0,0,6,3098
0,0,0,1,0,0,1,0,0,0,0,0,7,3,1,0,0,0,3,2764
0,0,0,1,1,0,0,0,0,1,0,0,5469,2,0,0,1,0,4,2335
0,0,0,1,0,0,1,0,0,0,0,0,6,2,0,0,1,0,3,1462
1,0,0,0,0,1,0,0,0,0,0,0,21,2,0,0,0,1,3,2356
1,0,0,0,0,1,0,0,0,0,0,0,1127,1,0,0,1,0,1,1731
1,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,1,0,2,1162
1,0,0,0,1,0,0,0,1,0,0,0,6028,2,1,0,0,0,3,1884
0,0,0,1,1,0,0,0,0,0,1,0,1669,1,0,0,0,1,3,1505
0,0,0,1,0,1,0,0,0,0,0,0,1972,0,0,0,0,1,6,1252
0,1,0,0,0,1,0,0,0,0,0,0,684,0,0,0,1,0,6,1360
1,0,0,0,0,0,1,0,0,0,0,0,13,3,0,1,0,0,4,3824
1,0,0,0,1,0,0,0,0,0,1,0,8061,3,0,0,0,1,7,4580
1,0,0,0,1,0,0,0,0,0,1,0,2544,0,1,0,0,0,7,2833
0,1,0,0,0,0,1,0,0,0,0,0,46,1,1,0,0,0,1,1131
0,1,0,0,0,1,0,0,0,0,0,0,62,3,0,0,0,1,1,2382
0,0,0,1,1,0,0,0,1,0,0,0,4447,2,1,0,0,0,4,2649
0,0,0,1,1,0,0,1,0,0,0,0,4303,1,0,0,0,1,7,2706
0,1,0,0,1,0,0,0,0,0,1,0,3176,3,0,0,1,0,5,3045
0,0,0,1,1,0,0,1,0,0,0,0,7255,1,0,0,0,1,2,3134
0,0,0,1,0,0,1,0,0,0,0,0,62,3,1,0,0,0,7,3619
0,0,0,1,1,0,0,0,0,0,0,1,6254,3,0,0,0,1,6,5013
1,0,0,0,0,0,1,0,0,0,0,0,93,3,0,0,1,0,3,2443
0,0,0,1,0,0,1,0,0,0,0,0,86,0,0,0,0,1,3,488
0,0,0,1,0,1,0,0,0,0,0,0,357,1,1,0,0,0,7,2409
0,0,0,1,1,0,0,0,0,0,0,1,8725,3,0,1,0,0,7,7159
0,0,1,0,0,1,0,0,0,0,0,0,1753,3,0,0,1,0,5,2670
0,0,0,1,0,0,1,0,0,0,0,0,45,3,0,1,0,0,1,2321
1,0,0,0,0,1,0,0,0,0,0,0,292,1,0,0,0,1,5,1574
1,0,0,0,0,1,0,0,0,0,0,0,1739,3,0,0,1,0,6,2471
0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,1,6,2541
0,0,0,1,0,0,1,0,0,0,0,0,38,3,0,0,1,0,3,2298
0,1,0,0,0,1,0,0,0,0,0,0,970,1,0,1,0,0,1,1445
0,0,1,0,1,0,0,0,0,0,1,0,8616,0,1,0,0,0,7,4240
1,0,0,0,0,1,0,0,0,0,0,0,635,3,0,0,0,1,3,2650
1,0,0,0,1,0,0,0,1,0,0,0,2914,0,0,0,1,0,1,1033
0,1,0,0,0,0,1,0,0,0,0,0,92,1,0,0,0,1,3,990
0,1,0,0,0,0,1,0,0,0,0,0,67,0,0,1,0,0,6,937
0,1,0,0,1,0,0,1,0,0,0,0,6972,2,0,0,1,0,5,3483
0,0,1,0,1,0,0,0,0,0,0,1,9812,3,0,1,0,0,3,6515
0,0,0,1,0,1,0,0,0,0,0,0,1057,3,0,0,0,1,7,2929
0,0,0,1,1,0,0,0,0,0,1,0,3295,1,0,1,0,0,1,2377
1,0,0,0,0,0,1,0,0,0,0,0,97,2,0,0,0,1,1,1252
0,0,0,1,1,0,0,0,1,0,0,0,9705,1,1,0,0,0,6,1874
0,0,1,0,1,0,0,1,0,0,0,0,3105,1,0,0,0,1,6,1579
0,0,1,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,1,974
0,1,0,0,0,0,1,0,0,0,0,0,34,3,0,0,0,1,2,2607
0,0,1,0,0,1,0,0,0,0,0,0,1328,2,0,1,0,0,2,2054
1,0,0,0,0,1,0,0,0,0,0,0,779,0,0,0,0,1,7,1662
0,0,1,0,0,1,0,0,0,0,0,0,913,1,1,0,0,0,4,1463
0,0,0,1,1,0,0,0,1,0,0,0,5464,1,0,0,0,1,1,1143
0,0,0,1,1,0,0,1,0,0,0,0,3912,0,0,0,1,0,6,2790
0,0,1,0,0,0,1,0,0,0,0,0,89,1,1,0,0,0,7,2629
0,0,0,1,1,0,0,0,0,1,0,0,4359,2,0,0,1,0,5,2338
1,0,0,0,1,0,0,1,0,0,0,0,7873,1,0,1,0,0,7,3984
0,0,1,0,0,1,0,0,0,0,0,0,374,1,0,0,0,1,2,1253
0,0,1,0,0,1,0,0,0,0,0,0,1218,1,0,0,1,0,1,1480
0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1556
0,0,1,0,0,1,0,0,0,0,0,0,638,0,0,0,1,0,7,1847
0,0,1,0,1,0,0,0,0,1,0,0,8641,1,0,0,1,0,4,2778
1,0,0,0,0,0,1,0,0,0,0,0,46,0,0,0,0,1,5,1828
0,0,0,1,1,0,0,0,0,1,0,0,2871,1,0,1,0,0,1,1684
1,0,0,0,0,1,0,0,0,0,0,0,978,3,1,0,0,0,1,3503
0,0,1,0,0,1,0,0,0,0,0,0,1585,3,0,0,1,0,1,2540
0,0,0,1,0,0,1,0,0,0,0,0,92,0,1,0,0,0,2,838
1,0,0,0,1,0,0,0,0,0,1,0,4197,3,0,0,1,0,4,3559
0,1,0,0,0,1,0,0,0,0,0,0,199,2,0,0,1,0,4,1237
1,0,0,0,0,1,0,0,0,0,0,0,732,2,0,0,1,0,4,1406
0,0,1,0,0,1,0,0,0,0,0,0,584,2,0,0,1,0,6,1812
0,0,1,0,0,1,0,0,0,0,0,0,476,3,0,1,0,0,4,2784
0,1,0,0,0,1,0,0,0,0,0,0,1507,3,1,0,0,0,4,2554
0,0,0,1,1,0,0,0,1,0,0,0,6915,1,0,0,0,1,5,1203
1,0,0,0,0,1,0,0,0,0,0,0,133,1,0,1,0,0,4,1167
1,0,0,0,0,0,1,0,0,0,0,0,9,1,0,0,1,0,1,1279
0,1,0,0,0,0,1,0,0,0,0,0,34,0,0,0,0,1,6,842
1,0,0,0,1,0,0,0,1,0,0,0,9359,3,0,1,0,0,2,2654
0,0,1,0,0,0,1,0,0,0,0,0,62,0,1,0,0,0,1,830
0,0,1,0,0,1,0,0,0,0,0,0,1681,1,0,1,0,0,3,1624
1,0,0,0,0,0,1,0,0,0,0,0,93,0,0,0,1,0,3,1439
1,0,0,0,0,0,1,0,0,0,0,0,56,3,0,0,0,1,1,2904
1,0,0,0,1,0,0,0,0,0,1,0,3509,3,0,0,1,0,7,4103
0,0,0,1,0,0,1,0,0,0,0,0,37,1,0,0,0,1,2,1060
1,0,0,0,1,0,0,0,0,0,1,0,6731,3,0,0,0,1,2,4203
1,0,0,0,0,1,0,0,0,0,0,0,1388,1,0,0,0,1,1,856
0,1,0,0,1,0,0,0,1,0,0,0,159,2,1,0,0,0,7,2433
1,0,0,0,1,0,0,0,0,0,0,1,7976,0,1,0,0,0,5,4483
0,1,0,0,0,1,0,0,0,0,0,0,1032,0,0,0,0,1,7,1661
1,0,0,0,0,1,0,0,0,0,0,0,1351,1,0,0,1,0,6,1484
0,0,1,0,0,1,0,0,0,0,0,0,436,3,0,0,0,1,2,2955
0,0,0,1,1,0,0,0,0,0,1,0,4595,1,0,0,1,0,4,2590
0,0,0,1,0,1,0,0,0,0,0,0,770,0,0,0,0,1,4,1166
0,0,1,0,0,1,0,0,0,0,0,0,1632,1,0,1,0,0,2,1742
0,0,1,0,0,1,0,0,0,0,0,0,69,1,1,0,0,0,5,1628
0,1,0,0,0,1,0,0,0,0,0,0,1876,0,0,1,0,0,4,2090
1,0,0,0,0,1,0,0,0,0,0,0,158,0,0,0,1,0,3,1327
1,0,0,0,0,1,0,0,0,0,0,0,838,2,1,0,0,0,6,2673
0,1,0,0,1,0,0,1,0,0,0,0,2723,1,0,1,0,0,7,2664
0,1,0,0,0,1,0,0,0,0,0,0,593,2,0,0,1,0,2,1239
0,0,0,1,1,0,0,0,0,0,0,1,4910,0,1,0,0,0,5,2991
0,0,1,0,0,0,1,0,0,0,0,0,61,1,0,0,1,0,7,1688
1,0,0,0,0,0,1,0,0,0,0,0,54,1,0,0,0,1,2,1563
0,0,1,0,1,0,0,1,0,0,0,0,4425,1,0,0,1,0,2,3127
1,0,0,0,0,0,1,0,0,0,0,0,85,3,0,1,0,0,6,4095
1,0,0,0,1,0,0,0,0,1,0,0,7434,1,0,0,1,0,6,2486
0,1,0,0,1,0,0,0,0,0,0,1,7258,2,0,1,0,0,1,5082
0,0,0,1,0,0,1,0,0,0,0,0,7,0,1,0,0,0,5,2160
1,0,0,0,0,0,1,0,0,0,0,0,74,2,0,0,0,1,3,2091
0,1,0,0,0,0,1,0,0,0,0,0,37,0,1,0,0,0,5,1696
1,0,0,0,1,0,0,0,1,0,0,0,1170,0,0,0,0,1,1,1009
0,0,0,1,1,0,0,0,0,1,0,0,6890,0,0,0,0,1,2,2134
1,0,0,0,0,1,0,0,0,0,0,0,506,1,0,0,0,1,4,2047
0,0,1,0,0,0,1,0,0,0,0,0,99,0,0,1,0,0,6,2190
0,0,1,0,1,0,0,0,1,0,0,0,1695,0,0,0,0,1,6,1177
0,1,0,0,1,0,0,0,1,0,0,0,5671,2,0,0,0,1,4,1814
0,1,0,0,1,0,0,0,1,0,0,0,8553,0,0,0,1,0,6,1284
1,0,0,0,0,1,0,0,0,0,0,0,1418,1,0,1,0,0,7,1839
0,1,0,0,0,1,0,0,0,0,0,0,382,1,0,1,0,0,3,1026
0,0,1,0,1,0,0,0,0,0,1,0,5005,0,0,1,0,0,6,2600
0,1,0,0,0,0,1,0,0,0,0,0,77,3,1,0,0,0,4,2189
0,1,0,0,0,1,0,0,0,0,0,0,194,1,0,1,0,0,2,1500
0,0,0,1,0,1,0,0,0,0,0,0,1446,2,0,0,0,1,6,1685
1,0,0,0,0,0,1,0,0,0,0,0,58,2,0,0,1,0,6,1914
0,0,1,0,1,0,0,0,0,1,0,0,7570,1,1,0,0,0,2,2845
0,0,1,0,1,0,0,0,0,1,0,0,8298,1,0,1,0,0,2,2152
1,0,0,0,1,0,0,0,1,0,0,0,3216,3,0,0,0,1,1,2577
1,0,0,0,1,0,0,0,0,0,1,0,9945,1,0,0,1,0,3,4220
0,0,1,0,0,1,0,0,0,0,0,0,499,0,0,1,0,0,6,1199
0,0,0,1,0,1,0,0,0,0,0,0,1426,2,0,1,0,0,3,1552
1,0,0,0,1,0,0,0,1,0,0,0,95,3,0,0,0,1,5,3294
1,0,0,0,1,0,0,1,0,0,0,0,1467,3,0,0,0,1,6,3243
1,0,0,0,0,1,0,0,0,0,0,0,1172,0,1,0,0,0,2,1675
0,1,0,0,0,1,0,0,0,0,0,0,1212,1,0,0,0,1,7,1304
0,1,0,0,0,0,1,0,0,0,0,0,99,3,0,1,0,0,6,2878
0,1,0,0,1,0,0,0,0,1,0,0,2787,0,0,1,0,0,2,1126
0,0,1,0,0,0,1,0,0,0,0,0,7,1,0,1,0,0,3,1489
0,1,0,0,1,0,0,0,1,0,0,0,3347,2,0,0,1,0,4,1954
0,1,0,0,0,1,0,0,0,0,0,0,1475,2,0,1,0,0,7,1957
