Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,CarbonEmission,Microwave,Stove,Grill,Oven,Airfryer,coal,electricity,natural gas,wood,diesel,electric,hybrid,lpg,petrol,private,public,walk/bicycle,extra large,large,medium,small
3,5737,1,4284,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,88,6,807,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,558,4,1991,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,752,3,1817,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,71,2,1490,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2,1028,2,1561,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,1527,4,2202,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2,88,5,2024,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,73,4,1659,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3,8320,5,3911,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,72,6,1204,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,9,2,2431,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,60,2,1640,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,13,5,1648,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,32,6,1002,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2,49,1,1771,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,1351,1,2028,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,1726,2,2540,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,1021,7,1386,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,62,5,1679,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,9488,5,3141,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
3,1037,4,2627,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,9555,2,1188,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
0,9031,5,3174,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2,1461,7,2327,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3,39,3,1822,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,5033,6,2665,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
2,1065,4,2129,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,927,5,1425,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2,2277,1,1690,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,97,7,1717,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2,7272,2,4060,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,5260,3,3262,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1,1750,1,1674,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,2998,4,3135,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,9147,5,4465,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,1947,3,1984,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,4885,1,3246,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2,20,4,1351,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,23,1,1929,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2,34,5,2719,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,59,1,2336,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,682,6,1270,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,10,6,1803,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
3,10,1,1816,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,7964,1,4638,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,3606,3,1909,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2,536,2,2021,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1564,5,1896,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2,78,4,1770,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,98,1,1323,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
3,1820,1,2269,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,243,4,1918,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
3,1586,7,2477,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,11,3,1444,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,72,5,1254,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1157,5,1411,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1380,4,1605,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,5765,5,3054,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
3,92,6,2902,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2,7797,7,4301,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
3,50,3,2308,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,7629,1,4132,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
2,2367,3,2993,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
2,3960,1,3098,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1,42,2,1364,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,6455,1,2941,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2,41,4,1349,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,71,1,1038,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,39,7,1815,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
3,50,1,2566,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3,8707,3,2439,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,167,2,2056,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
3,631,7,2299,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,194,6,1492,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,46,1,1692,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,37,3,2581,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,31,2,950,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0,2880,5,1923,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,6,2,1751,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
3,40,6,2562,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,1,6,2456,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0,1341,1,657,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,393,3,1758,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,191,4,2184,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3,131,1,3009,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,1419,5,3748,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
1,9159,7,1122,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,8016,3,2810,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,87,3,1346,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,3,5,671,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2,13,1,1695,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,74,3,810,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,7743,3,2768,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,993,7,1033,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1997,4,2046,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,2721,6,2171,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,5,7,1312,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,941,1,1209,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2,8815,2,4017,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,3276,1,877,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,3309,5,1856,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,2623,2,2197,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
3,7915,1,4281,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2,8897,3,3480,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,19,1,953,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2,3662,2,2046,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
0,611,6,2521,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
3,1431,6,3551,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,1978,3,1459,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
3,92,2,2492,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2,82,1,2411,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,1851,7,2761,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1224,3,1500,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,8219,5,1708,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,1390,4,1717,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,434,1,2135,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,7460,6,2042,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,15,1,1221,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
3,4686,2,3473,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
0,88,5,1378,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,40,2,2135,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,56,6,1464,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
3,14,6,2816,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3,108,1,2210,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,5168,3,1552,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
2,672,3,2406,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
3,94,3,3004,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1,3114,3,2540,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
1,7134,2,2424,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,8609,6,4000,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,852,1,1288,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1673,6,2317,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3,1564,7,2730,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,74,7,1371,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,2885,4,2349,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1,8130,7,4536,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
3,228,3,2987,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1162,4,1039,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,71,2,1036,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2,6337,4,3620,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1,1649,4,1009,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,6159,2,2895,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0,9884,1,4294,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2,4060,7,3429,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,68,7,1334,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3,5,7,3697,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,702,4,1494,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,2,4,2779,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,42,1,993,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,274,5,1944,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,590,3,1474,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,84,1,1880,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
2,6908,3,3535,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,52,7,1644,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2,121,2,1268,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,30,7,1529,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1336,4,2076,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,89,4,1850,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1412,6,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,4,3,1485,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1924,1,1139,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,64,2,682,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,8659,1,926,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,82,1,1037,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,31,4,1467,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,5230,3,914,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
2,450,4,1741,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,441,2,2742,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,6160,2,2988,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
2,35,4,2160,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,57,6,3098,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
3,7,3,2764,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2,5469,4,2335,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2,6,3,1462,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2,21,3,2356,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1127,1,1731,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,7,2,1162,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,6028,3,1884,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1,1669,3,1505,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,1972,6,1252,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,684,6,1360,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,13,4,3824,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,8061,7,4580,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,2544,7,2833,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,46,1,1131,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3,62,1,2382,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,4447,4,2649,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
1,4303,7,2706,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
3,3176,5,3045,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,7255,2,3134,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
3,62,7,3619,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
3,6254,6,5013,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
3,93,3,2443,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,86,3,488,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,357,7,2409,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
3,8725,7,7159,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
3,1753,5,2670,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3,45,1,2321,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,292,5,1574,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,1739,6,2471,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,2,6,2541,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,38,3,2298,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,970,1,1445,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,8616,7,4240,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
3,635,3,2650,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,2914,1,1033,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,92,3,990,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,67,6,937,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,6972,5,3483,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
3,9812,3,6515,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
3,1057,7,2929,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,3295,1,2377,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
2,97,1,1252,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,9705,6,1874,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
1,3105,6,1579,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0,6,1,974,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
3,34,2,2607,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,1328,2,2054,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,779,7,1662,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,913,4,1463,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,5464,1,1143,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
0,3912,6,2790,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,89,7,2629,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2,4359,5,2338,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,7873,7,3984,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,374,2,1253,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1218,1,1480,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1556,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,638,7,1847,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,8641,4,2778,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,46,5,1828,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2871,1,1684,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
3,978,1,3503,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,1585,1,2540,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0,92,2,838,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
3,4197,4,3559,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2,199,4,1237,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,732,4,1406,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,584,6,1812,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3,476,4,2784,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3,1507,4,2554,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,6915,5,1203,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
